Name;Short name
Regionalverband Saarbrücken;LK Stadtverband Saarbrücken
Plön;LK Plön
Hamburg;SK Hamburg
Wiesbaden;SK Wiesbaden
Werra-Meißner-Kreis;LK Werra-Meißner-Kreis
Heidelberg;SK Heidelberg
Alb-Donau-Kreis;LK Alb-Donau-Kreis
Berchtesgadener Land;LK Berchtesgadener Land
Regen;LK Regen
Dingolfing-Landau;LK Dingolfing-Landau
Roth;LK Roth
Uckermark;LK Uckermark
Burgenlandkreis;LK Burgenlandkreis
Berlin Charlottenburg-Wilmersdorf;SK Berlin Charlottenburg-Wilmersdorf
Berlin Marzahn-Hellersdorf;SK Berlin Marzahn-Hellersdorf
Gifhorn;LK Gifhorn
Olpe;LK Olpe
Main-Kinzig-Kreis;LK Main-Kinzig-Kreis
Kassel;LK Kassel
Hohenlohekreis;LK Hohenlohekreis
Sigmaringen;LK Sigmaringen
Bad Tölz-Wolfratshausen;LK Bad Tölz-Wolfratshausen
Freising;LK Freising
Kitzingen;LK Kitzingen
Schweinfurt;LK Schweinfurt
Aichach-Friedberg;LK Aichach-Friedberg
Saarpfalz-Kreis;LK Saar-Pfalz-Kreis
Havelland;LK Havelland
Potsdam-Mittelmark;LK Potsdam-Mittelmark
Stendal;LK Stendal
Nordhausen;LK Nordhausen
Braunschweig;SK Braunschweig
Helmstedt;LK Helmstedt
Ammerland;LK Ammerland
Remscheid;SK Remscheid
Märkischer Kreis;LK Märkischer Kreis
Groß-Gerau;LK Groß-Gerau
Odenwaldkreis;LK Odenwaldkreis
Schwalm-Eder-Kreis;LK Schwalm-Eder-Kreis
Eifelkreis Bitburg-Prüm;LK Bitburg-Prüm
Worms;SK Worms
Pforzheim;SK Pforzheim
Bamberg;SK Bamberg
Erlangen-Höchstadt;LK Erlangen-Höchstadt
St. Wendel;LK Sankt Wendel
Dahme-Spreewald;LK Dahme-Spreewald
Vogtlandkreis;LK Vogtlandkreis
Dresden;SK Dresden
Sömmerda;LK Sömmerda
Neumünster;SK Neumünster
Wilhelmshaven;SK Wilhelmshaven
Osnabrück;LK Osnabrück
Wesermarsch;LK Wesermarsch
Birkenfeld;LK Birkenfeld
Rhein-Pfalz-Kreis;LK Rhein-Pfalz-Kreis
Rems-Murr-Kreis;LK Rems-Murr-Kreis
Main-Tauber-Kreis;LK Main-Tauber-Kreis
Ravensburg;LK Ravensburg
Pfaffenhofen a.d. Ilm;LK Pfaffenhofen a.d.Ilm
Freyung-Grafenau;LK Freyung-Grafenau
Erlangen;SK Erlangen
Ansbach;LK Ansbach
Bad Kissingen;LK Bad Kissingen
Frankfurt (Oder);SK Frankfurt (Oder)
Nordsachsen;LK Nordsachsen
Saalfeld-Rudolstadt;LK Saalfeld-Rudolstadt
